element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),template_model,Data Source (BEAM Material)
Element_18,57.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261.0,"Kaleidoscope Calculator, Payette",STR1_ENCO7_ENCT2_ENCR1,
Element_19,58.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509.0,"Kaleidoscope Calculator, Payette",STR1_ENCO7_ENCT2_ENCR1,
Element_20,59.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Exterior finish,Glass fiber reinforced concrete (GFRC) Panel,GFRC,170263.0,"Kaleidoscope Calculator, Payette",STR1_ENCO7_ENCT2_ENCR1,
Element_21,60.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644.0,"Kaleidoscope Calculator, Payette",STR1_ENCO7_ENCT2_ENCR1,
Element_22,1.0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT2,Glazing: triple pane IGU,Glazing,Triple pane IGU,"Glazing, triple, insulated (air)",54275.0,"Viracon triple pane IGU, 1-5/16"" Clear Insulating Low-E Laminated  Glass Unit with a ½” VTS Airspace  and Both Lites Heat Treated",STR1_ENCO7_ENCT2_ENCR1,
Element_23,0.0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829.0,,STR1_ENCO7_ENCT2_ENCR1,
Element_24,1.0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755.0,,STR1_ENCO7_ENCT2_ENCR1,
Element_0,0.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_1,1.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_2,2.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_3,3.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_4,4.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_5,5.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_6,6.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_7,7.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_8,8.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_9,9.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",217730.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_10,10.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: girders,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",89824.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_11,11.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural columns,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44674.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_12,12.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_13,13.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT1_ENCR1,
Element_14,61.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Insulation,"3.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",8366.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_15,62.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_16,63.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,Galvanized steel backer tray,Zinc coating (galvanized) for steel G60,425.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_17,64.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Exterior finish,"3/4"" Brick","Brick, generic",74168.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_18,65.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Exterior finish,Type S mortar,Mortar type S,11329.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_19,66.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,"Steel, sheet","Steel, sheet",16759.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_20,67.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,Galvanized steel support system,Galvanized steel,4039.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_21,68.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_22,69.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_23,70.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_24,71.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_25,72.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Thermal break,Thermal break,"Adhesive, polychloroprene (neoprene)",96.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT1_ENCR1,
Element_26,0.0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing: double pane IGU,Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343.0,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",STR1_ENCO8_ENCT1_ENCR1,
Element_27,0.0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829.0,,STR1_ENCO8_ENCT1_ENCR1,
Element_28,1.0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755.0,,STR1_ENCO8_ENCT1_ENCR1,
Element_0,0.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_1,1.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_2,2.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_3,3.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_4,4.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_5,5.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_6,6.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_7,7.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_8,8.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_9,9.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",217730.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_10,10.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: girders,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",89824.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_11,11.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural columns,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44674.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_12,12.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_13,13.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267.0,Calculated from takeoff from Revit,STR1_ENCO8_ENCT2_ENCR1,
Element_14,61.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Insulation,"3.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",8366.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_15,62.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_16,63.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,Galvanized steel backer tray,Zinc coating (galvanized) for steel G60,425.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_17,64.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Exterior finish,"3/4"" Brick","Brick, generic",74168.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_18,65.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Exterior finish,Type S mortar,Mortar type S,11329.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_19,66.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,"Steel, sheet","Steel, sheet",16759.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_20,67.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,Galvanized steel support system,Galvanized steel,4039.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_21,68.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_22,69.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_23,70.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_24,71.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_25,72.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Thermal break,Thermal break,"Adhesive, polychloroprene (neoprene)",96.0,"Kaleidoscope Calculator, Payette",STR1_ENCO8_ENCT2_ENCR1,
Element_26,1.0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT2,Glazing: triple pane IGU,Glazing,Triple pane IGU,"Glazing, triple, insulated (air)",54275.0,"Viracon triple pane IGU, 1-5/16"" Clear Insulating Low-E Laminated  Glass Unit with a ½” VTS Airspace  and Both Lites Heat Treated",STR1_ENCO8_ENCT2_ENCR1,
Element_27,0.0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829.0,,STR1_ENCO8_ENCT2_ENCR1,
Element_28,1.0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755.0,,STR1_ENCO8_ENCT2_ENCR1,
Element_0,0.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_1,1.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_2,2.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_3,3.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_4,4.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_5,5.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_6,6.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_7,7.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_8,8.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_9,9.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",217730.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_10,10.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: girders,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",89824.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_11,11.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural columns,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44674.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_12,12.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_13,13.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT1_ENCR1,
Element_14,73.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Insulation,"3.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",8366.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_15,74.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_16,75.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Exterior finish,"6"" x 1' Tulipwood/Poplar lumber","Tulipwood lumber, 1 inch",25945.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_17,76.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Exterior finish,Water based stain,"Wood stain, water based",208.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_18,77.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Support,Aluminum extrusion,"Aluminum extrusion, AEC - EPD",2717.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_19,78.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Support,Galvanized steel support system,Galvanized steel,4039.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_20,79.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_21,80.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_22,81.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_23,82.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_24,83.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Thermal break,Thermal break,"Adhesive, polychloroprene (neoprene)",96.0,"Kaleidoscope Calculator, Payette",STR1_ENCO9_ENCT1_ENCR1,
Element_25,0.0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing: double pane IGU,Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343.0,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",STR1_ENCO9_ENCT1_ENCR1,
Element_26,0.0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829.0,,STR1_ENCO9_ENCT1_ENCR1,
Element_27,1.0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755.0,,STR1_ENCO9_ENCT1_ENCR1,
Element_0,0.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT2_ENCR1,
Element_1,1.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT2_ENCR1,
Element_2,2.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT2_ENCR1,
Element_3,3.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT2_ENCR1,
Element_4,4.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT2_ENCR1,
Element_5,5.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT2_ENCR1,
Element_6,6.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT2_ENCR1,
Element_7,7.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267.0,Calculated from takeoff from Revit,STR1_ENCO9_ENCT2_ENCR1,
